Rank,Player,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,"<span title=""hard-court elo rating"">hElo</span title=""hard-court elo rating"">","<span title=""clay-court elo rating"">cElo</span title=""clay-court elo rating"">","<span title=""grass-court elo rating"">gElo</span title=""grass-court elo rating"">",    ,Peak Match,Peak Age,Peak Elo
111,Liam Broady,28.3,1680.6,,1637.5,1431,1349.5,,1659,1555.8,1515,,2022 Phoenix CH QF,28.2,1740.2
112,Jordan Thompson,28,1680,,1616.6,1494,1590,,1648.3,1587,1635,,2019 s Hertogenbosch SF,25.1,1792.8
113,Fernando Verdasco,38.4,1678,,1635.1,1611.7,1568.4,,1656.5,1644.9,1623.2,,2010 Rome QF,26.4,2096.6
114,Bernabe Zapata Miralles,25.3,1677.2,,1494,1655.6,1476.1,,1585.6,1666.4,1576.6,,2021 Us Open Qual,24.6,1756.2
115,Roberto Carballes Baena,29.1,1676.9,,1480.6,1644.4,1377.5,,1578.7,1660.6,1527.2,,2019 Queen's Club Qual,26.2,1749.7
116,Christopher Eubanks,25.9,1676.7,,1614.6,1295.8,1329.5,,1645.6,1486.2,1503.1,,2022 Miami Qual,25.9,1708.1
117,Pedro Cachin,27.1,1673.6,,1117.3,1644.5,1311.5,,1395.5,1659.1,1492.6,,2022 Prague CH F,27.1,1673.6
118,Juan Pablo Varillas,26.6,1672.4,,1232,1655.2,1343.8,,1452.2,1663.8,1508.1,,2022 Santa Cruz De La Sierra CH SF,26.5,1719.1
119,Carlos Taberner,24.7,1669.3,,1359.8,1633.5,1406.3,,1514.6,1651.4,1537.8,,2021 Losinj CH SF,24.2,1720.4
120,Tomas Martin Etcheverry,22.8,1668.4,,1346.5,1626.2,1408.6,,1507.5,1647.3,1538.5,,2021 Cordenons CH SF,22,1780.5
121,Pablo Cuevas,36.3,1667.4,,1544.7,1644.1,1440.8,,1606.1,1655.7,1554.1,,2016 Nottingham SF,30.5,1909.2
122,Marco Trungelliti,32.2,1664.9,,1470.3,1599.5,1373.9,,1567.6,1632.2,1519.4,,2022 Madrid CH SF,32.2,1677.6
123,Yannick Hanfmann,30.4,1664.4,,1504.2,1629.6,1411.6,,1584.3,1647,1538,,2017 Gstaad SF,25.7,1763.9
124,Hugo Gaston,21.6,1663.4,,1540.9,1604.1,1421.9,,1602.1,1633.7,1542.6,,2021 Paris R16,21.1,1781.7
125,Lucas Pouille,28.2,1662.7,,1602.3,1619.2,1559.6,,1632.5,1640.9,1611.2,,2017 Halle R32,23.3,1977.1
126,Facundo Bagnis,32.2,1661.8,,1416.3,1655.6,1185.5,,1539,1658.7,1423.6,,2016 Marrakech R16,26.1,1713.4
127,Elias Ymer,26,1660.6,,1577.2,1578.9,1303.6,,1618.9,1619.8,1482.1,,2015 Caltanissetta CH F,19.2,1729.2
128,Chun Hsin Tseng,20.7,1658,,1416.6,1639.5,1426.6,,1537.3,1648.8,1542.3,,2022 Prague CH QF,20.7,1701.9
129,Pavel Kotov,23.5,1657.5,,1543.3,1516.4,-,,1600.4,1586.9,1528.8,,2022 Aix-En-Provence CH QF,23.5,1678.1
130,Mikhail Kukushkin,34.3,1656.9,,1614.8,1503.1,1495.5,,1635.9,1580,1576.2,,2010 St. Petersburg F,22.8,1849.6
131,Andreas Seppi,38.1,1656,,1578.2,1534.2,1573.8,,1617.1,1595.1,1614.9,,2013 Australian Open R32,28.9,1904.9
132,Nuno Borges,25.2,1654.4,,1508.4,1602.4,-,,1581.4,1628.4,1527.2,,2021 Oeiras 4 CH QF,24.3,1706.4
133,Pierre Hugues Herbert,31.1,1654.3,,1598.5,1580.1,1530,,1626.4,1617.2,1592.1,,2019 Montpellier SF,27.9,1845
134,Juan Manuel Cerundolo,20.3,1652.5,,1344.4,1681.8,1349.8,,1498.5,1667.1,1501.2,,2021 Lima 2 CH SF,19.9,1783.2
135,Nicolas Jarry,26.6,1651.6,,1439.5,1626.1,1494,,1545.6,1638.9,1572.8,,2018 Shanghai R32,23,1810.6
136,Gianluca Mager,27.4,1647.1,,1544.5,1583.6,1382.1,,1595.8,1615.3,1514.6,,2021 Prostejov CH QF,26.5,1729.5
137,Jurij Rodionov,23,1644.5,,1572.1,1471.8,1362.4,,1608.3,1558.1,1503.5,,2018 Astana CH QF,19.2,1691.9
138,Norbert Gombos,31.7,1643.7,,1538.4,1582.1,1395.6,,1591.1,1612.9,1519.7,,2020 Paris R32,30.2,1737.8
139,Henri Laaksonen,30.1,1643.3,,1551.4,1590.3,1234.5,,1597.3,1616.8,1438.9,,2021 Brest CH R16,29.6,1797.8
140,Stefano Travaglia,30.3,1642.2,,1553.6,1631.7,1426.5,,1597.9,1636.9,1534.3,,2021 Great Ocean Road Open SF,29.1,1797.9
141,Peter Gojowczyk,32.7,1639.4,,1564.3,1438.5,1547.3,,1601.8,1538.9,1593.3,,2018 Delray Beach SF,28.6,1830.2
142,Mats Moraing,29.8,1638.2,,1549.4,1561.4,1344.6,,1593.8,1599.8,1491.4,,2022 Phoenix CH R32,29.7,1725.9
143,Ivo Karlovic,42.6,1636.2,,1578.7,1537.1,1566.3,,1607.5,1586.7,1601.3,,2007 Paris R64,28.7,1958
144,Benoit Paire,33,1633.9,,1579.1,1584.2,1529.9,,1606.5,1609,1581.9,,2013 Roland Garros R64,24.1,1904.2
145,Aleksandar Vukic,26.1,1632.8,,1615.9,1375.2,1375.4,,1624.3,1504,1504.1,,2022 Indian Wells Qual,25.9,1730.2
146,Dominic Stricker,19.7,1632.2,,1618.7,1275.1,1471.9,,1625.5,1453.7,1552.1,,2021 Stuttgart R16,18.8,1789.8
147,Michael Mmoh,24.3,1632.2,,1529,1512,1383.3,,1580.6,1572.1,1507.7,,2017 San Francisco CH QF,19.1,1749.2
148,Feliciano Lopez,40.6,1631.6,,1553.2,1564.9,1701.3,,1592.4,1598.2,1666.4,,2014 Shanghai QF,33,1943.4
149,Zsombor Piros,22.5,1624.3,,1524.8,1539.7,-,,1574.6,1582,1512.2,,2022 Forli 2 CH QF,22.2,1669.5
